2DEigenValue,3DEigenValue,Average,VarianceExplained,,,,,,
0.088600826,0.093267753,0.09093429,0.42126143,0.215861893,,,,,0.825795943
0.053779869,0.069688912,0.06173439,0.285990221,,,,,,
0.022690056,0.028488334,0.025589195,0.118544292,,,,,,
0.015996965,0.018810786,0.017403876,0.080625049,,,,,,
0.013279217,0.01467035,0.013974783,0.064739465,,,,,,
0.00250199,0.006942741,0.004722365,0.021876791,,,,,,
0.002294842,0.000711144,0.001502993,0.006962752,,,,,,
1.53E-17,2.11E-17,1.81752E-17,8.41983E-17,,,,,,
1.53E-17,2.11E-17,1.81752E-17,8.41983E-17,,,,,,
1.45E-17,1.72E-17,1.58386E-17,7.33737E-17,,,,,,
1.45E-17,1.72E-17,1.58386E-17,7.33737E-17,,,,,,
1.44E-17,1.54E-17,1.48643E-17,6.88604E-17,,,,,,
1.42E-17,1.53E-17,1.47518E-17,6.83391E-17,,,,,,
1.42E-17,1.54E-17,1.47778E-17,6.84596E-17,,,,,,
1.41E-17,1.47E-17,1.43684E-17,6.65628E-17,,,,,,
1.41E-17,1.53E-17,1.46951E-17,6.80765E-17,,,,,,
1.35E-17,1.39E-17,1.36759E-17,6.33546E-17,,,,,,
1.35E-17,1.47E-17,1.40669E-17,6.51663E-17,,,,,,
1.29E-17,1.38E-17,1.33757E-17,6.19644E-17,,,,,,
1.29E-17,1.39E-17,1.34124E-17,6.21341E-17,,,,,,
1.23E-17,1.37E-17,1.30242E-17,6.03357E-17,,,,,,
1.23E-17,1.38E-17,1.30658E-17,6.05285E-17,,,,,,
1.18E-17,1.23E-17,1.20427E-17,5.57888E-17,,,,,,
1.18E-17,1.27E-17,1.22074E-17,5.65521E-17,,,,,,
1.17E-17,1.22E-17,1.19548E-17,5.53819E-17,,,,,,
1.17E-17,1.23E-17,1.20181E-17,5.56751E-17,,,,,,
1.15E-17,1.18E-17,1.16627E-17,5.40283E-17,,,,,,
1.15E-17,1.22E-17,1.18446E-17,5.48714E-17,,,,,,
1.14E-17,1.13E-17,1.13643E-17,5.26462E-17,,,,,,
1.14E-17,1.18E-17,1.1636E-17,5.3905E-17,,,,,,
1.11E-17,1.10E-17,1.10272E-17,5.10843E-17,,,,,,
1.11E-17,1.13E-17,1.11953E-17,5.1863E-17,,,,,,
1.11E-17,1.07E-17,1.08768E-17,5.0388E-17,,,,,,
1.11E-17,1.10E-17,1.10074E-17,5.09926E-17,,,,,,
1.03E-17,1.03E-17,1.02785E-17,4.76161E-17,,,,,,
1.03E-17,1.07E-17,1.0494E-17,4.86142E-17,,,,,,
9.55E-18,1.01E-17,9.84245E-18,4.55961E-17,,,,,,
9.55E-18,1.03E-17,9.90868E-18,4.59029E-17,,,,,,
8.97E-18,1.01E-17,9.51619E-18,4.40846E-17,,,,,,
8.97E-18,1.01E-17,9.55409E-18,4.42602E-17,,,,,,
8.90E-18,1.01E-17,9.48105E-18,4.39218E-17,,,,,,
8.63E-18,9.33E-18,8.97965E-18,4.15991E-17,,,,,,
8.63E-18,9.33E-18,8.97965E-18,4.15991E-17,,,,,,
7.95E-18,9.24E-18,8.59396E-18,3.98123E-17,,,,,,
7.95E-18,9.24E-18,8.59396E-18,3.98123E-17,,,,,,
7.90E-18,8.82E-18,8.36054E-18,3.8731E-17,,,,,,
7.90E-18,8.82E-18,8.36054E-18,3.8731E-17,,,,,,
7.67E-18,8.48E-18,8.07863E-18,3.7425E-17,,,,,,
7.67E-18,8.48E-18,8.07863E-18,3.7425E-17,,,,,,
7.57E-18,8.05E-18,7.81474E-18,3.62025E-17,,,,,,
7.57E-18,8.05E-18,7.81474E-18,3.62025E-17,,,,,,
7.53E-18,7.48E-18,7.5059E-18,3.47718E-17,,,,,,
7.53E-18,7.48E-18,7.5059E-18,3.47718E-17,,,,,,
7.47E-18,7.41E-18,7.44284E-18,3.44797E-17,,,,,,
7.47E-18,7.41E-18,7.44284E-18,3.44797E-17,,,,,,
6.93E-18,7.34E-18,7.13507E-18,3.30539E-17,,,,,,
6.93E-18,7.34E-18,7.13507E-18,3.30539E-17,,,,,,
6.69E-18,7.22E-18,6.95651E-18,3.22267E-17,,,,,,
6.69E-18,7.31E-18,7.00142E-18,3.24347E-17,,,,,,
6.39E-18,7.17E-18,6.77893E-18,3.1404E-17,,,,,,
6.39E-18,7.22E-18,6.80518E-18,3.15256E-17,,,,,,
6.31E-18,7.11E-18,6.70963E-18,3.1083E-17,,,,,,
6.31E-18,7.17E-18,6.73828E-18,3.12157E-17,,,,,,
6.21E-18,6.65E-18,6.43231E-18,2.97983E-17,,,,,,
6.21E-18,7.11E-18,6.66236E-18,3.0864E-17,,,,,,
6.00E-18,6.63E-18,6.31772E-18,2.92674E-17,,,,,,
6.00E-18,6.65E-18,6.32743E-18,2.93124E-17,,,,,,
5.86E-18,6.13E-18,5.99781E-18,2.77854E-17,,,,,,
5.86E-18,6.13E-18,5.99781E-18,2.77854E-17,,,,,,
5.64E-18,5.87E-18,5.75586E-18,2.66646E-17,,,,,,
5.64E-18,5.87E-18,5.75586E-18,2.66646E-17,,,,,,
5.64E-18,5.83E-18,5.7363E-18,2.65739E-17,,,,,,
5.64E-18,5.83E-18,5.7363E-18,2.65739E-17,,,,,,
5.59E-18,5.66E-18,5.62485E-18,2.60576E-17,,,,,,
5.59E-18,5.66E-18,5.62485E-18,2.60576E-17,,,,,,
4.99E-18,5.59E-18,5.2882E-18,2.44981E-17,,,,,,
4.99E-18,5.59E-18,5.2882E-18,2.44981E-17,,,,,,
4.96E-18,5.53E-18,5.24381E-18,2.42924E-17,,,,,,
4.93E-18,5.39E-18,5.15626E-18,2.38868E-17,,,,,,
4.93E-18,5.53E-18,5.22742E-18,2.42165E-17,,,,,,
4.64E-18,5.12E-18,4.87897E-18,2.26023E-17,,,,,,
4.64E-18,5.39E-18,5.01394E-18,2.32275E-17,,,,,,
4.43E-18,5.07E-18,4.74896E-18,2.2E-17,,,,,,
4.43E-18,5.12E-18,4.77172E-18,2.21054E-17,,,,,,
4.40E-18,4.84E-18,4.62288E-18,2.14159E-17,,,,,,
4.40E-18,5.07E-18,4.73698E-18,2.19445E-17,,,,,,
4.30E-18,4.70E-18,4.49953E-18,2.08445E-17,,,,,,
4.30E-18,4.70E-18,4.49953E-18,2.08445E-17,,,,,,
4.23E-18,4.34E-18,4.28574E-18,1.98541E-17,,,,,,
4.23E-18,4.50E-18,4.36491E-18,2.02209E-17,,,,,,
4.09E-18,4.34E-18,4.21983E-18,1.95488E-17,,,,,,
4.05E-18,4.07E-18,4.06002E-18,1.88084E-17,,,,,,
4.05E-18,4.07E-18,4.06002E-18,1.88084E-17,,,,,,
3.73E-18,3.79E-18,3.76044E-18,1.74206E-17,,,,,,
3.73E-18,3.79E-18,3.76044E-18,1.74206E-17,,,,,,
3.73E-18,3.74E-18,3.73364E-18,1.72964E-17,,,,,,
3.61E-18,3.67E-18,3.64308E-18,1.68769E-17,,,,,,
